"country","type","title","release_year","listed_in","description"
"Argentina","TV Show","The Kirlian Frequency",2017,"International TV Shows","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","TV Show","The Kirlian Frequency",2017,"Spanish-Language TV Shows","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","TV Show","The Kirlian Frequency",2017,"TV Horror","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
"Argentina","Movie","El Pepe, a Supreme Life",2018,"Documentaries","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future."
"Argentina","Movie","El Pepe, a Supreme Life",2018,"International Movies","In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"Crime TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"International TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Monzon: A Knockout Blow",2018,"Spanish-Language TV Shows","This dramatization tells the story of Argentine boxing champion Carlos Monzón, as well as the investigation into the death of his wife Alicia Muñiz."
"Argentina","TV Show","Encerrados",2018,"International TV Shows","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","TV Show","Encerrados",2018,"Spanish-Language TV Shows","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","TV Show","Encerrados",2018,"TV Comedies","This fictional series tells the stories of what happens to people when they feel caged in, whether physically, psychologically or emotionally."
"Argentina","Movie","Free Rein: The Twelve Neighs of Christmas",2018,"Children & Family Movies","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
"Argentina","Movie","Free Rein: The Twelve Neighs of Christmas",2018,"Dramas","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
"Argentina","TV Show","Carmel: Who Killed Maria Marta?",2020,"Crime TV Shows","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
"Argentina","TV Show","Carmel: Who Killed Maria Marta?",2020,"Docuseries","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
"Argentina","TV Show","Carmel: Who Killed Maria Marta?",2020,"International TV Shows","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story."
"Argentina","Movie","Mi Obra Maestra",2018,"Comedies","A sly art dealer tries to revive the career of his longtime pal, a surly painter, with a risky plan that tests their morals and friendship."
"Argentina","Movie","Mi Obra Maestra",2018,"International Movies","A sly art dealer tries to revive the career of his longtime pal, a surly painter, with a risky plan that tests their morals and friendship."
"Argentina","TV Show","Puerta 7",2020,"Crime TV Shows","A determined woman works to rid an Argentine soccer club of the violent crime and corruption surrounding its intense fanbase."
"Argentina","TV Show","Puerta 7",2020,"International TV Shows","A determined woman works to rid an Argentine soccer club of the violent crime and corruption surrounding its intense fanbase."
"Argentina","TV Show","Puerta 7",2020,"Spanish-Language TV Shows","A determined woman works to rid an Argentine soccer club of the violent crime and corruption surrounding its intense fanbase."
"Argentina","Movie","Despido Procedente",2017,"Comedies","A Spaniard working in Argentina sees his life upended after accidentally giving bad directions to a passerby, who demands compensation for the error."
"Argentina","Movie","Despido Procedente",2017,"International Movies","A Spaniard working in Argentina sees his life upended after accidentally giving bad directions to a passerby, who demands compensation for the error."
"Argentina","TV Show","Secreto bien guardado",2019,"International TV Shows","In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
"Argentina","TV Show","Secreto bien guardado",2019,"Romantic TV Shows","In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
"Argentina","TV Show","Secreto bien guardado",2019,"Spanish-Language TV Shows","In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel."
"Argentina","Movie","The Desert Bride",2017,"Dramas","While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities."
"Argentina","Movie","The Desert Bride",2017,"International Movies","While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities."
"Argentina","Movie","Abzurdah",2015,"Dramas","A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia."
"Argentina","Movie","Abzurdah",2015,"International Movies","A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia."
"Argentina","TV Show","Edha",2018,"International TV Shows","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man."
"Argentina","TV Show","Edha",2018,"Spanish-Language TV Shows","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man."
"Argentina","TV Show","Edha",2018,"TV Dramas","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man."
"Argentina","Movie","Invisible",2017,"Dramas","After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed."
"Argentina","Movie","Invisible",2017,"Independent Movies","After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed."
"Argentina","Movie","Invisible",2017,"International Movies","After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed."
"Argentina","Movie","Sebastián Marcelo Wainraich",2018,"Stand-Up Comedy","Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings."
"Argentina","TV Show","Millennials",2019,"International TV Shows","A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating."
"Argentina","TV Show","Millennials",2019,"Romantic TV Shows","A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating."
"Argentina","TV Show","Millennials",2019,"Spanish-Language TV Shows","A group of millennials copes with the pressures of adulting by tackling a diverse set of problems from unemployment to cheating."
"Argentina","Movie","Hypersomnia",2016,"Horror Movies","A young actress rehearsing for a play about human trafficking begins to relive terrifying scenes that may be dreams – or an alternate reality."
"Argentina","Movie","Hypersomnia",2016,"International Movies","A young actress rehearsing for a play about human trafficking begins to relive terrifying scenes that may be dreams – or an alternate reality."
"Argentina","Movie","Hypersomnia",2016,"Thrillers","A young actress rehearsing for a play about human trafficking begins to relive terrifying scenes that may be dreams – or an alternate reality."
"Argentina","Movie","A Life of Speed: The Juan Manuel Fangio Story",2020,"Documentaries","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
"Argentina","Movie","A Life of Speed: The Juan Manuel Fangio Story",2020,"International Movies","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
"Argentina","Movie","A Life of Speed: The Juan Manuel Fangio Story",2020,"Sports Movies","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
"Argentina","TV Show","Almost Happy",2020,"International TV Shows","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids."
"Argentina","TV Show","Almost Happy",2020,"Spanish-Language TV Shows","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids."
"Argentina","TV Show","Almost Happy",2020,"TV Comedies","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids."
"Argentina","Movie","Perdida",2018,"Dramas","A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger."
"Argentina","Movie","Perdida",2018,"International Movies","A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger."
"Argentina","Movie","Perdida",2018,"Thrillers","A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger."
"Argentina","Movie","El Viaje: Marama y Rombai",2016,"Children & Family Movies","Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom."
"Argentina","Movie","El Viaje: Marama y Rombai",2016,"Documentaries","Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom."
"Argentina","Movie","El Viaje: Marama y Rombai",2016,"International Movies","Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom."
"Argentina","TV Show","Go! Live Your Way",2019,"Kids' TV","Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter."
"Argentina","TV Show","Go! Live Your Way",2019,"Spanish-Language TV Shows","Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter."
"Argentina","TV Show","Go! Live Your Way",2019,"Teen TV Shows","Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter."
"Argentina","Movie","El limite infinito",2020,"Documentaries","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports."
"Argentina","Movie","El limite infinito",2020,"International Movies","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports."
"Argentina","Movie","El limite infinito",2020,"Sports Movies","From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports."
"Argentina","Movie","Tango Feroz",1993,"Classic Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
"Argentina","Movie","Tango Feroz",1993,"Dramas","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
"Argentina","Movie","Tango Feroz",1993,"International Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
"Argentina","TV Show","El Marginal",2019,"Crime TV Shows","While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity."
"Argentina","TV Show","El Marginal",2019,"International TV Shows","While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity."
"Argentina","TV Show","El Marginal",2019,"Spanish-Language TV Shows","While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity."
"Argentina","Movie","So Much Love to Give",2020,"Comedies","Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together."
"Argentina","Movie","So Much Love to Give",2020,"International Movies","Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together."
"Argentina","Movie","So Much Love to Give",2020,"Music & Musicals","Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together."
"Argentina","Movie","Notes for My Son",2020,"Dramas","Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story."
"Argentina","Movie","Notes for My Son",2020,"International Movies","Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story."
"Argentina","Movie","Chronicle of an Escape",2006,"Dramas","Soccer goalie Claudio Tamburrini is kidnapped by the Argentine military. Several months later, he joins other prisoners in planning a daring escape."
"Argentina","Movie","Chronicle of an Escape",2006,"International Movies","Soccer goalie Claudio Tamburrini is kidnapped by the Argentine military. Several months later, he joins other prisoners in planning a daring escape."
"Argentina","Movie","Chronicle of an Escape",2006,"Thrillers","Soccer goalie Claudio Tamburrini is kidnapped by the Argentine military. Several months later, he joins other prisoners in planning a daring escape."
"Argentina","Movie","The Lost Brother",2017,"Dramas","While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
"Argentina","Movie","The Lost Brother",2017,"International Movies","While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
"Argentina","Movie","GO! The Unforgettable Party",2019,"Children & Family Movies","Mía's vacation with her dad is disrupted by the surprise arrival of Lupe, Mercedes, Juanma and Álvaro as their school drama moves lakeside."
"Argentina","Movie","GO! The Unforgettable Party",2019,"Music & Musicals","Mía's vacation with her dad is disrupted by the surprise arrival of Lupe, Mercedes, Juanma and Álvaro as their school drama moves lakeside."
"Argentina","Movie","Lusers",2015,"Comedies","Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final."
"Argentina","Movie","Lusers",2015,"International Movies","Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final."
"Argentina","Movie","Lusers",2015,"Sports Movies","Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final."
"Argentina","Movie","Memories of a Teenager",2019,"Dramas","To cope with a friend's death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening."
"Argentina","Movie","Memories of a Teenager",2019,"International Movies","To cope with a friend's death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening."
"Argentina","Movie","Memories of a Teenager",2019,"LGBTQ Movies","To cope with a friend's death, a teen blogs about his daily life but falls further into an existential crisis while experiencing a sexual awakening."
"Argentina","Movie","Palermo Hollywood",2004,"Dramas","A pair of petty criminals from different backgrounds get tangled up in a gangster's kidnapping scheme that goes awry."
"Argentina","Movie","Palermo Hollywood",2004,"International Movies","A pair of petty criminals from different backgrounds get tangled up in a gangster's kidnapping scheme that goes awry."
"Argentina","Movie","Todo Sobre El Asado",2016,"Documentaries","This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue – which is both meal and ritual."
"Argentina","Movie","Todo Sobre El Asado",2016,"International Movies","This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue – which is both meal and ritual."
"Argentina","Movie","El Potro: Unstoppable",2018,"Dramas","Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life."
"Argentina","Movie","El Potro: Unstoppable",2018,"International Movies","Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life."
"Argentina","Movie","El Potro: Unstoppable",2018,"Music & Musicals","Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life."
"Argentina","Movie","La Última Fiesta",2016,"Comedies","Three best buddies are thrown into a wild chase for a priceless painting that was stolen from a house they used to throw a huge party."
"Argentina","Movie","La Última Fiesta",2016,"International Movies","Three best buddies are thrown into a wild chase for a priceless painting that was stolen from a house they used to throw a huge party."
"Argentina","Movie","Intuition",2020,"Dramas","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
"Argentina","Movie","Intuition",2020,"International Movies","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
"Argentina","Movie","Intuition",2020,"Thrillers","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
"Argentina","Movie","Temporada de Caza",2017,"Dramas","Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia."
"Argentina","Movie","Temporada de Caza",2017,"International Movies","Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia."
"Argentina","Movie","Malena Pichot: Estupidez compleja",2018,"Stand-Up Comedy","An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner."
"Argentina","Movie","Food on the Go",2017,"Documentaries","Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage."
"Argentina","Movie","Food on the Go",2017,"International Movies","Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage."
"Argentina","Movie","Fernando Sanjiao: Hombre",2018,"Stand-Up Comedy","Argentine actor and comedian Fernando Sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times."
"Argentina","Movie","The Son",2019,"Dramas","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
"Argentina","Movie","The Son",2019,"Independent Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
"Argentina","Movie","The Son",2019,"International Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
"Argentina","Movie","27, el club de los malditos",2018,"Action & Adventure","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
"Argentina","Movie","27, el club de los malditos",2018,"Comedies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
"Argentina","Movie","27, el club de los malditos",2018,"International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
"Argentina","Movie","The Aerial",2007,"Dramas","In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change."
"Argentina","Movie","The Aerial",2007,"International Movies","In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change."
"Argentina","Movie","The Aerial",2007,"Sci-Fi & Fantasy","In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change."
"Argentina","Movie","Mater",2017,"Dramas","A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child."
"Argentina","Movie","Mater",2017,"Independent Movies","A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child."
"Argentina","Movie","Mater",2017,"International Movies","A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child."
"Argentina","Movie","A Sort of Family",2017,"Dramas","An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt."
"Argentina","Movie","A Sort of Family",2017,"International Movies","An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt."
"Argentina","Movie","A Sort of Family",2017,"Thrillers","An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt."
"Argentina","Movie","Underdogs",2013,"Children & Family Movies","When his archenemy returns to settle a score, a foosball ace and his magically incarnated team must save the town and woo back his girl."
"Argentina","Movie","Underdogs",2013,"Sports Movies","When his archenemy returns to settle a score, a foosball ace and his magically incarnated team must save the town and woo back his girl."
"Argentina","Movie","Esperando La Carroza",1985,"Comedies","Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?"
"Argentina","Movie","Esperando La Carroza",1985,"Cult Movies","Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?"
"Argentina","Movie","Esperando La Carroza",1985,"International Movies","Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?"
"Argentina","Movie","The Crimes That Bind",2020,"Dramas","When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
"Argentina","Movie","The Crimes That Bind",2020,"International Movies","When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
"Argentina","Movie","Pizza, birra, faso",1998,"Dramas","A group of hardscrabble young thieves in Argentina decide to leave their boss and plan heists on their own."
"Argentina","Movie","Pizza, birra, faso",1998,"International Movies","A group of hardscrabble young thieves in Argentina decide to leave their boss and plan heists on their own."
"Argentina","TV Show","Psiconautas",2016,"International TV Shows","A Spanish con man masquerades as a therapist and starts leading group sessions in Argentina for a crew of gullible misfits."
"Argentina","TV Show","Psiconautas",2016,"Spanish-Language TV Shows","A Spanish con man masquerades as a therapist and starts leading group sessions in Argentina for a crew of gullible misfits."
"Argentina","TV Show","Psiconautas",2016,"TV Comedies","A Spanish con man masquerades as a therapist and starts leading group sessions in Argentina for a crew of gullible misfits."
"Argentina","Movie","The Last Runway",2018,"Action & Adventure","An ex-colonel forms a special paramilitary group focused on combatting drug trafficking on the Paraguayan border."
"Argentina","Movie","The Last Runway",2018,"International Movies","An ex-colonel forms a special paramilitary group focused on combatting drug trafficking on the Paraguayan border."
"Argentina","Movie","Desire",2017,"Dramas","A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom."
"Argentina","Movie","Desire",2017,"International Movies","A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom."
"Argentina","Movie","Desire",2017,"Romantic Movies","A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom."
"Argentina","Movie","Black Snow",2017,"Dramas","An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property."
"Argentina","Movie","Black Snow",2017,"International Movies","An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property."
"Argentina","Movie","Black Snow",2017,"Thrillers","An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property."
"Argentina","Movie","River, el más grande siempre",2019,"Documentaries","Experience the highlights of Argentine soccer team Club Atlético River Plate's long history, from its early development to its major victories."
"Argentina","Movie","River, el más grande siempre",2019,"International Movies","Experience the highlights of Argentine soccer team Club Atlético River Plate's long history, from its early development to its major victories."
"Argentina","Movie","River, el más grande siempre",2019,"Sports Movies","Experience the highlights of Argentine soccer team Club Atlético River Plate's long history, from its early development to its major victories."
"Argentina","Movie","Al acecho",2019,"International Movies","Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
"Argentina","Movie","Al acecho",2019,"Thrillers","Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."
"Argentina","Movie","Blood Will Tell",2019,"Dramas","Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident."
"Argentina","Movie","Blood Will Tell",2019,"Independent Movies","Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident."
"Argentina","Movie","Blood Will Tell",2019,"International Movies","Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident."
"Argentina","TV Show","Vientos de agua",2006,"International TV Shows","José Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001."
"Argentina","TV Show","Vientos de agua",2006,"Spanish-Language TV Shows","José Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001."
"Argentina","TV Show","Vientos de agua",2006,"TV Dramas","José Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001."
"Argentina","Movie","Todo lo que sería Lucas Lauriente",2018,"Stand-Up Comedy","In his stand-up set, Argentine comic Lucas Lauriente animatedly rattles off reflections on different generations and begs kids to stop saying ""goals."""
"Argentina","Movie","Agustín Aristarán: Soy Rada",2018,"Stand-Up Comedy","Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine."
"Argentina","Movie","Just Love",2018,"Dramas","Inspired by his love affair with a conservative lawyer, the lead singer of a struggling garage band pens a hit song that propels him to fame."
"Argentina","Movie","Just Love",2018,"International Movies","Inspired by his love affair with a conservative lawyer, the lead singer of a struggling garage band pens a hit song that propels him to fame."
"Argentina","Movie","Just Love",2018,"Music & Musicals","Inspired by his love affair with a conservative lawyer, the lead singer of a struggling garage band pens a hit song that propels him to fame."
"Argentina","Movie","The Distinguished Citizen",2016,"Comedies","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
"Argentina","Movie","The Distinguished Citizen",2016,"Dramas","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
"Argentina","Movie","The Distinguished Citizen",2016,"International Movies","Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
"Argentina","TV Show","No Time for Shame",2019,"International TV Shows","Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients."
"Argentina","TV Show","No Time for Shame",2019,"Reality TV","Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients."
"Argentina","TV Show","No Time for Shame",2019,"Spanish-Language TV Shows","Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients."
"Argentina","Movie","Luciano Mellera: Infantiloide",2018,"Stand-Up Comedy","Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life."
"Argentina","Movie","Grego Rossello: Disculpe las molestias",2019,"Stand-Up Comedy","Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more."
"Argentina","Movie","The Tenth Man",2016,"Dramas","After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."
"Argentina","Movie","The Tenth Man",2016,"International Movies","After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."
"Argentina","TV Show","Apache: The Life of Carlos Tevez",2019,"Crime TV Shows","This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache."
"Argentina","TV Show","Apache: The Life of Carlos Tevez",2019,"International TV Shows","This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache."
"Argentina","TV Show","Apache: The Life of Carlos Tevez",2019,"Spanish-Language TV Shows","This gritty dramatization of the life of Carlos Tevez shows his rise to soccer stardom amid the harrowing conditions in Argentina's Fuerte Apache."
"Argentina","Movie","Lucha: Playing the Impossible",2016,"Documentaries","Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
"Argentina","Movie","Lucha: Playing the Impossible",2016,"International Movies","Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
"Argentina","Movie","Lucha: Playing the Impossible",2016,"Sports Movies","Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
"Argentina","TV Show","Creators",2015,"Kids' TV","Two brilliant scientists discover the hidden virtual city of Creápolis, where citizens have the power to solve problems by believing and creating."
"Argentina","TV Show","Creators",2015,"Spanish-Language TV Shows","Two brilliant scientists discover the hidden virtual city of Creápolis, where citizens have the power to solve problems by believing and creating."
"Argentina","TV Show","Heidi, bienvenida a casa",2017,"Kids' TV","Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city."
"Argentina","TV Show","Heidi, bienvenida a casa",2017,"Spanish-Language TV Shows","Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city."
"Argentina","Movie","Guillermo Vilas: Settling the Score",2020,"Documentaries","An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s."
"Argentina","Movie","Guillermo Vilas: Settling the Score",2020,"International Movies","An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s."
